name,web,address
Cyclica,http://cyclicarx.com,"207 Queens Quay West, Suite 420 Toronto, Ontario, M5J 1A7 Canada"
CytoReason ,http://cytoreason.com,"Azrieli Circular Tower, 16th floor Derech Menachem Begin 132, Tel Aviv-Yafo 6701101, Israel"
Data2Discovery,http://d2discovery.com,"901 E 10TH ST BLOOMINGTON, IN, 47408-3912"
Data4Cure,http://data4cure.com,"4225 Executive Sq, Suite 600 La Jolla, CA 92037"
Datavant,http://datavant.com,"2 Embarcadero Center, 7th floor San Francisco, CA 94111"
Deep 6 AI,http://deep6.ai,"77 N Mentor Ave, Suite 200 Pasadena, CA 91106"
Deep Genomics,http://deepgenomics.com,"MaRS Centre, 661 University Ave, Suite 480 Toronto, Ontario, Canada, M5G 1M1"
Deep Intelligent Pharma,http://deepintepharma.com,"Room 1608, Tower B T3, Wangjing SOHO, #1 Futong East Avenue, Wangjing, Chaoyang District, Beijing, China"
Deep Lens,http://deeplens.ai,"1275 Kinnear Rd,  Columbus, OH 43212"
Desktop Genetics,http://desktopgenetics.com,210 Broadway # 201  Cambridge MA 02139 
e-Therapeutics,http://etherapeutics.co.uk,17 Blenheim Office Park Long Hanborough Oxfordshire OX29 8LN
Emerald Cloud Lab,http://emeraldcloudlab.com,"844 Dubuque Ave. South San Francisco, CA 94080"
Engine Biosciences,http://enginebio.com,"MBC Biolabs 733, Industrial Road San Carlos, CA 94070"
Envisagenics,http://envisagenics.com,"101 Avenue of the Americas 3rd Floor New York, NY 10013"
Erasca,http://erasca.com,"10835 Road to the Cure Suite 140 San Diego, California 92121"
Euretos,http://euretos.com,"Utrecht Science Park, Yalelaan 1 3584 CL, Utrecht The Netherlands"
Evaxion,http://evaxion-biotech.com,"Bredgade 34E, 1260 Copenhagen K"
EvidScience,http://evidscience.com,"2361 Rosecrans Avenue, Suite 348, El Segundo, California 90245 "
Exscientia,http://exscientia.co.uk,"36 ST. GILES', OXFORD, OX1 3LD"
FDNA ,http://fdna.com,"186 South St. 5th Floor Boston, MA 02111 U.S.A."
Genialis,http://genialis.com,"2520 Robinhood St. Suite 603, Houston, TX 77005"
Globavir,http://globavir.com,"5150 El Camino Real Suite #A-32 Los Altos, CA 94022"
GNS Healthcare,http://gnshealthcare.com,"196 Broadway Cambridge, MA 02139-1902"
Gritstone Oncology,http://gritstoneoncology.com,"5858 Horton Street, Suite 210  Emeryville, CA 94608"
GTN,http://gtn.ai,5th Floor The Bower 207 Old Street London EC1V 9NR
Healx ,http://healx.io,"Charter House, 66-68 Hills Rd, Cambridge CB2 1LA"
Helix,http://askhelix.io,"atlanta, GA"
Iktos,http://iktos.ai,65 rue de Prony 75017 PARIS
Imagia,http://imagia.com,6650 Saint-Urbain Street Suite 100 Montr_al (Qu_bec) CANADA H2S 3G9 Canada
Inato,http://inato.com,"111-113 Rue Saint-Maur, 75011 Paris, France"
Innoplexus,http://innoplexus.com,"258 Newark Street, Suite 301 Hoboken, New Jersey, 07030"
Insilico Medicine,http://insilicomedicine.com,"Rm 8, Unit 111-113  ICT Co-Working Centre 1/F Enterprise Place,  5 Science Park West Avenue, Hong Kong "
Insitro,http://insitro.com,"279 East Grand Avenue  South San Francisco, California 94080"
Intellegens,http://intellegens.co.uk,"EAGLE LABS, 28 CHESTERTON ROAD, CAMBRIDGE, CAMBRIDGESHIRE, UNITED KINGDOM, CB4 3AZ"
Intelligencia.AI,http://intelligencia.ai,"137 West 25th Street, 11th Floor, New York, NY 10001, USA"
Interprotein,http://interprotein.com,"3-10-2 Toyosaki, Kita-ku, Osaka, 531-0072, Japan"
InveniAI,http://inveniai.com,"2614 Boston Post Road Suite #33B Guilford, CT 06437 USA"
InVivo AI,http://invivoai.com,"montreal, Canada"
Iris.ai,http://iris.ai,"Barlindbekken 25 1388 Borgen, oslo, norway"
Keen Eye,http://keeneyetechnologies.com,"74 Rue du Faubourg Saint-Antoine, 75012 Paris, France"
Kyndi,http://kyndi.com,"1300 S. El Camino Real, Suite 500 San Mateo, CA 94402"
LabTwin,http://labtwin.com,"Prenzlauer Allee 242, 10405 Berlin, Germany"
Lantern Pharma,http://lanternpharma.com,"1920 McKinney Ave 7th floor, Dallas, TX 75201"
Linguamatics,http://linguamatics.com,"324 Cambridge Science Park Milton Rd, Milton, Cambridge CB4 0WG, UK"
Mendel.ai,http://mendel.ai,"333 W San Carlos St. Suite 600  San Jose, CA 95110, USA"
Meta,http://meta.org,"ontario, canada"
Micar21,http://micar21.com,"38A, Karamfil street, 1616, Sofia, Bulgaria"
Mind the Byte,http://mindthebyte.com,"Fontanella, 18 3-2 279 08010 Barcelona"
Molomics,http://molomics.com,"Parc CientÍfic de Barcelona Baldiri i Reixac 4-8 08028 Barcelona, Spain"
NetraMark,http://netramark.com,3E0 Toronto Canada
nference,http://nference.ai,"One Main Street, Suite 400 East Arcade, 4th Floor Cambridge, MA 02142"
Novoheart,http://novoheart.com,"5171 California Avenue, Suite 150, Irvine, CA 92617, USA"
nQ Medical,http://nq-medical.com,"245 Main Street Cambridge, MA 02142"
NuMedii,http://numedii.com,"66 Bovet Rd, Suite 320, San Mateo, CA 94402 "
Numerate,http://numerate.com,"1501 Mariposa Street, Suite 426 San Francisco, CA 94107"
Nuritas,http://nuritas.com,"Joshua Dawson House Dawson Street Dublin 2 D02 RY95, Ireland "
OccamzRazor,http://occamzrazor.com,"3003 23rd Street San Francisco, CA 94110"
Owkin,http://owkin.com,"831 Broadway New York, NY 10003 United States"
PathAI,http://pathai.com,"120 Brookline Ave. Boston, Massachusetts 02215"
PatSnap,http://patsnap.com,"12130 Millennium Drive Los Angeles, CA 90094 United States"
Pepticom,http://pepticom.com,"Building 2/1 Hi-Tech Park, Edmond J. Safra Campus Givat-Ram, Jerusalem 9139002 Israel"
Peptone,http://peptone.io,"Northcliffe House, Young St, London W8 5EH, United Kingdom"
Phenomic AI ,http://phenomic.ai,"661 University Avenue, Suite 1300, MaRS Centre, West Tower, Toronto, ON M5G 0B7 "
Plex Research,http://plexresearch.com,"625 Massachusetts Ave., 2nd Floor Cambridge, MA 02139"
Precisionlife,http://precisionlife.com,"1 Broadway Cambridge 02142, MA"
ProteinQure ,http://proteinqure.com,"192 Spadina Ave M5T 2C2, Toronto Ontario, Canada"
Qrativ,http://qrativ.bio,"One Main Street Suite 400 East Arcade, 4th Floor Cambridge, MA 02142"
Quantitative Medicine,http://qtmed.com,"317 Idlewood Road Penn Hills, PA 15235 United States"
Quertle,http://quertle.com,"2505 Anthem Village Drive, Suite E-170, Henderson, NV 89052"
Qulab,http://qulab.com,"1642 Westwood Blvd, PH2, Los Angeles, CA, 90024"
Recursion Pharmaceuticals,http://recursionpharma.com,"41S Rio Grande Street Salt Lake City, UT 84101"
Relay Therapeutics,http://relaytx.com,"399 Binney Street, 2nd Floor Cambridge, MA 02139"
Remedium AI,http://remediumai.com,"montreal, Canada"
Researchably ,http://researchably.com,"2150 Shattuck Avenue  Penthouse, Berkeley, California"
Resonant Therapeutics,http://resonantrx.com,"2450 Holcombe Blvd, Suite J Houston, TX 77021"
RevealBio,http://revealbio.com,"6760 Top Gun St, Suite 110 San Diego, CA 92121"
Reverie Labs,http://reverielabs.com,"GSV Labs, 2 Ave de Lafayette 4th floor, Boston, MA 02111"
ReviveMed ,http://revive-med.com,"700 North, Main Street, Cambridge, MA 02139"
Saama,http://saama.com,"900 E. Hamilton Ave., Suite 200 Campbell, CA 95008 USA"
sciNote,http://scinote.net,"3000 Parmenter St., Middleton, WI, USA"
Sirenas,http://sirenasmd.com,"3550 General Atomics Court. Suite 02/211 San Diego, CA 92121"
Sparrho,http://sparrho.com,"london, UK"
Spring Discovery,http://springdisc.com,"1125 Industrial Rd San Carlos, CA 94070"
Standigm,http://standigm.com,"Standigm, 5th Floor, 56, Nonhyeon-ro 67-gil, Gangnam-gu, Seoul, 06250, Rep. of KOREA"
Structura Biotechnology,http://structura.bio,"toronto, canada"
Syntekabio,http://syntekabio.com,korea
Synthace,http://synthace.com,"The Westworks, 195 Wood Lane, London, W12 7FQ, United Kingdom"
Systems Oncology,http://systemsoncology.com,"7201 E. Henkel Way Suite 205 Scottsdale, AZ 85255"
TARA Biosystems,http://tarabiosystems.com,"430 East 29th Street Suite 1015 New York, NY 10016 United States"
TeselaGen,http://teselagen.com,"1501 Mariposa St, Suite 312  San Francisco, CA 94107, USA"
ThoughtSpot,http://thoughtspot.com,"910 Hermosa Ct, Sunnyvale, CA 94085"
Transcriptic,http://transcriptic.com,"3565 Haven Ave., Suite 3 Menlo Park, CA 94025"
Trials.ai,http://trials.ai,"1510 Front St #400, San Diego, CA 92101"
Turbine,http://turbine.ai,"budapest, hungary"
TwoXAR,http://twoxar.com,"883 N. Shoreline Blvd. Suite A100 Mountain View, CA 94043"
uBiome,http://ubiome.com,"180 Steuart St #194165, San Francisco, CA 94103"
Verge Genomics,http://vergegenomics.com,"Two Tower Place, Suite 940 South San Francisco, CA 94080"
VERISIMLife,http://verisimlife.com,"315 Montgomery St, San Francisco, CA 94104"
Virvio,http://virvio.com,"Fluke Hall, Box 352141  4000 Mason Road, Suite 300 Seattle, Washington 98195  USA"
Vyasa,http://vyasa.com,"575 Boylston Street, Boston, MA"
WinterLight Labs,http://winterlightlabs.com,"661 University Avenue  Suite 1300  Toronto, ON, M5G 0B7"
XtalPi,http://xtalpi.com,"One Broadway, Cambridge, MA 02142, USA"
